"","Date","IdxGas","ConsGas","PriceGas","IdxElec","ConsElec","PriceElec","IdxWater","ConsWater","PriceWater","PriceTotal","X","Year"
"1","1/1/2012",62483.461,55.881,55.51,50747,116,22.14,14.4003,0.9286,2.96,80.61,NA,"2012"
"2","1/8/2012",62541.061,57.6,57.22,50871,124,23.67,15.4339,1.0336,3.3,84.19,NA,"2012"
"3","1/15/2012",62603.546,62.485,62.07,50993,122,23.29,16.4567,1.0228,3.26,88.62,NA,"2012"
"4","1/22/2012",62660.512,56.966,56.59,51117,124,23.67,17.4041,0.9474,3.02,83.28,NA,"2012"
"5","1/29/2012",62724.568,64.056,63.63,51242,125,23.86,18.3824,0.9783,3.12,90.61,NA,"2012"
"6","2/5/2012",62808.44,83.872,83.32,51370,128,24.43,19.8276,1.4452,4.61,112.36,NA,"2012"
"7","2/12/2012",62892.795,84.355,83.8,51503,133,25.39,21.4047,1.5771,5.03,114.22,NA,"2012"
"8","2/19/2012",62952.321,59.526,59.13,51625,122,23.29,23.1678,1.7631,5.62,88.04,NA,"2012"
"9","2/26/2012",63006.812,54.491,54.13,51735,110,21,24.8595,1.6917,5.4,80.53,NA,"2012"
"10","3/4/2012",63047.575,40.763,40.49,51847,112,21.38,26.0061,1.1466,3.66,65.53,NA,"2012"
"11","3/11/2012",63099.564,51.989,51.65,51956,109,20.81,27.4528,1.4467,4.61,77.07,NA,"2012"
"12","3/18/2012",63128.366,28.802,28.61,52061,105,20.04,28.5261,1.0733,3.42,52.07,NA,"2012"
"13","3/25/2012",63155.372,27.006,26.83,52154,93,17.75,29.7477,1.2216,3.9,48.48,NA,"2012"
"14","4/1/2012",63178.898,23.526,23.37,52227,73,13.93,30.9789,1.2312,3.93,41.23,NA,"2012"
"15","4/8/2012",63215.179,36.281,36.04,52307,80,15.27,31.9574,0.9785,3.12,54.43,NA,"2012"
"16","4/15/2012",63256.397,41.218,40.95,52372,65,12.41,32.8359,0.8785,2.8,56.16,NA,"2012"
"17","4/22/2012",63301.478,45.081,44.78,52458,86,16.42,34.3592,1.5233,4.86,66.06,NA,"2012"
"18","4/29/2012",63332.698,31.22,31.01,52549,91,17.37,36.1032,1.744,5.56,53.94,NA,"2012"
"19","5/6/2012",63360.219,27.521,27.34,52643,94,17.94,37.9652,1.862,5.94,51.22,NA,"2012"
"20","5/13/2012",63379.538,19.319,19.19,52731,88,16.8,39.7012,1.736,5.54,41.53,NA,"2012"
"21","5/20/2012",63396.773,17.235,17.12,52807,76,14.51,40.8277,1.1265,3.59,35.22,NA,"2012"
"22","5/27/2012",63403.147,6.374,6.33,52871,64,12.22,42.0769,1.2492,3.98,22.53,NA,"2012"
"23","6/3/2012",63411.625,8.478,8.42,52963,92,17.56,43.5135,1.4366,4.58,30.56,NA,"2012"
"24","6/10/2012",63433.082,21.457,21.32,53048,85,16.22,3360.58,1.65,5.26,42.8,NA,"2012"
"25","6/17/2012",63449.645,16.563,16.45,53142,94,17.94,3362.451,1.871,5.97,40.36,NA,"2012"
"26","6/24/2012",63458.037,8.392,8.34,53229,87,16.61,3363.4811,1.0301,3.29,28.24,NA,"2012"
"27","7/1/2012",63461.818,3.781,3.76,53326,97,18.52,3365.2569,1.7758,5.66,27.94,NA,"2012"
"28","7/8/2012",63466.12,4.302,4.27,53407,81,15.46,3367.0395,1.7826,5.69,25.42,NA,"2012"
"29","7/15/2012",63466.579,0.459,0.46,53461,54,10.31,3367.2347,0.1952,0.62,11.39,NA,"2012"
"30","7/22/2012",63468.058,1.479,1.47,53512,51,9.73,3367.3858,0.1511,0.48,11.68,NA,"2012"
"31","7/29/2012",63470.007,1.949,1.94,53558,46,8.78,3367.7811,0.3953,1.26,11.98,NA,"2012"
"32","8/5/2012",63474.129,4.122,4.09,53630,72,13.74,3368.9324,1.1513,3.67,21.5,NA,"2012"
"33","8/12/2012",63477.618,3.489,3.47,53705,75,14.32,3370.4581,1.5257,4.87,22.66,NA,"2012"
